=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
VAE                                      --
├─Encoder: 1-1                           --
│    └─Linear: 2-1                       38,465
├─Decoder: 1-2                           --
│    └─Linear: 2-2                       39,200
=================================================================
Total params: 77,665
Trainable params: 77,665
Non-trainable params: 0
=================================================================
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
VAE                                      --
├─Encoder: 1-1                           --
│    └─Linear: 2-1                       38,465
├─Decoder: 1-2                           --
│    └─Linear: 2-2                       39,200
=================================================================
Total params: 77,665
Trainable params: 77,665
Non-trainable params: 0
=================================================================
=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
VAE                                      --
├─Encoder: 1-1                           --
│    └─Linear: 2-1                       38,465
├─Decoder: 1-2                           --
│    └─Linear: 2-2                       39,200
=================================================================
Total params: 77,665
Trainable params: 77,665
Non-trainable params: 0
=================================================================
Training model 1/3...
[Epoch   1 (51.69s)]	ELBO: 1156.571 (1338.642)	Log prob: 1247.370 (1382.474)	KLD: 90.799 (43.832)	Grad: 0.129
[Epoch   2 (50.73s)]	ELBO: 1357.344 (1370.712)	Log prob: 1390.445 (1398.076)	KLD: 33.101 (27.364)	Grad: 0.127
[Epoch   3 (48.41s)]	ELBO: 1375.540 (1382.890)	Log prob: 1399.880 (1404.805)	KLD: 24.340 (21.915)	Grad: 0.133
[Epoch   4 (50.47s)]	ELBO: 1384.903 (1389.415)	Log prob: 1405.498 (1407.857)	KLD: 20.595 (18.442)	Grad: 0.156
[Epoch   5 (51.45s)]	ELBO: 1391.403 (1395.275)	Log prob: 1409.975 (1412.121)	KLD: 18.572 (16.846)	Grad: 0.184
[Epoch   6 (48.35s)]	ELBO: 1397.121 (1401.222)	Log prob: 1414.238 (1417.432)	KLD: 17.117 (16.210)	Grad: 0.169
[Epoch   7 (52.36s)]	ELBO: 1402.036 (1405.717)	Log prob: 1418.126 (1421.193)	KLD: 16.090 (15.476)	Grad: 0.184
[Epoch   8 (51.16s)]	ELBO: 1406.606 (1410.226)	Log prob: 1422.000 (1425.023)	KLD: 15.394 (14.797)	Grad: 0.195
[Epoch   9 (50.42s)]	ELBO: 1410.947 (1413.737)	Log prob: 1425.653 (1427.501)	KLD: 14.706 (13.763)	Grad: 0.199
[Epoch  10 (49.25s)]	ELBO: 1415.201 (1417.938)	Log prob: 1429.299 (1431.593)	KLD: 14.098 (13.655)	Grad: 0.180
[Epoch  11 (47.91s)]	ELBO: 1419.004 (1421.255)	Log prob: 1432.527 (1434.409)	KLD: 13.524 (13.154)	Grad: 0.177
[Epoch  12 (49.00s)]	ELBO: 1422.965 (1425.104)	Log prob: 1435.960 (1437.945)	KLD: 12.995 (12.842)	Grad: 0.166
